#{"t_start": 1782413128.1205232, "env_id": "nair_gait_h0404MimoExo-v0"}
r,l,t
560.178247,1000,2727.917264
508.115477,1000,2733.01315
578.102112,1000,2737.982906
539.129737,1000,2742.931725
526.648264,1000,2747.944632
535.178744,1000,2753.060754
524.250115,1000,2758.07848
577.690657,1000,2763.114043
577.434961,1000,2767.688026
536.554111,1000,2771.92737
540.607438,1000,2776.172921
544.921902,1000,2780.554867
528.110628,1000,2784.799901
547.857455,1000,2789.064044
591.459839,1000,2793.346215
525.203356,1000,2797.612135
532.513041,1000,2802.473444
573.386958,1000,2807.260489
577.258512,1000,2812.302166
599.08998,1000,2817.304462
586.943575,1000,2822.313041
538.753676,1000,2827.360401
588.801866,1000,2832.443329
569.112823,1000,2837.465523
576.108084,1000,2842.495492
510.886727,1000,2847.464038
509.129008,1000,2852.498153
578.904939,1000,2857.477899
564.127558,1000,2862.439725
589.946937,1000,2866.948944
569.222964,1000,2871.184638
491.043796,1000,2875.392751
520.900168,1000,2879.646721
519.380762,1000,2883.856939
581.825483,1000,2888.082066
562.880001,1000,2892.319474
537.836359,1000,2896.577587
550.570195,1000,2900.938826
599.499174,1000,2905.164293
544.022566,1000,2909.528738
534.83072,1000,2914.051754
527.943785,1000,2918.314672
531.930197,1000,2922.567717
603.409317,1000,2926.907248
511.22961,1000,2931.750593
562.266072,1000,2936.807103
554.772095,1000,2941.535182
598.758416,1000,2946.090008
524.606113,1000,2950.416966
548.660251,1000,2954.667127
534.173478,1000,2958.995711
553.56548,1000,2963.211485
553.117033,1000,2967.44936
565.058452,1000,2971.68862
585.064285,1000,2975.92692
578.604002,1000,2980.254561
518.674939,1000,2984.526697
520.728905,1000,2988.75805
587.886453,1000,2993.001321
520.672565,1000,2997.732482
582.256474,1000,3002.78187
591.298081,1000,3007.751125
592.911083,1000,3012.170358
529.27433,1000,3016.400025
516.76671,1000,3020.636345
556.999565,1000,3024.984548
545.651772,1000,3029.253457
523.109183,1000,3033.782217
596.741611,1000,3038.796871
575.344321,1000,3043.602099
529.629132,1000,3047.843611
593.824002,1000,3052.864652
523.25208,1000,3058.113121
569.169882,1000,3063.013302
571.06666,1000,3067.877422
571.883932,1000,3072.917989
533.468032,1000,3077.714294
555.943042,1000,3082.456398
553.148752,1000,3086.909286
531.875708,1000,3091.203023
560.719192,1000,3095.576305
610.760926,1000,3099.884741
515.807947,1000,3104.151178
532.902865,1000,3108.424155
545.663053,1000,3112.728096
547.746554,1000,3117.015856
601.699577,1000,3121.27971
564.555646,1000,3125.573263
595.871298,1000,3129.860886
588.12812,1000,3134.149755
593.122155,1000,3138.451439
554.418567,1000,3142.746924
584.617538,1000,3147.177727
594.132453,1000,3151.459999
597.748791,1000,3155.764532
606.480761,1000,3160.115346
593.818371,1000,3164.499584
618.932834,1000,3168.866017
613.610308,1000,3173.215424
574.543563,1000,3177.483908
558.464591,1000,3181.8605
619.128523,1000,3186.157584
547.122372,1000,3190.430387
605.082151,1000,3194.814488
555.911844,1000,3199.192714
558.195231,1000,3203.44176
608.265071,1000,3207.707725
546.001625,1000,3212.405449
611.416208,1000,3217.378533
596.466988,1000,3222.395442
601.677507,1000,3227.494492
557.649239,1000,3232.529748
612.089845,1000,3237.494471
589.428358,1000,3242.040768
623.933349,1000,3246.30141
588.316173,1000,3250.542938
593.683487,1000,3254.813982
572.989961,1000,3259.094868
609.763051,1000,3263.358109
558.529947,1000,3267.71929
575.615141,1000,3272.027886
573.644137,1000,3276.311345
528.2317,1000,3280.674762
